"gid","name","area","status","date_create","description","polygon","type_land"
949,"80",NULL,NULL,"2023-12-05 07:18:35.345029+03","Участок №-1903","0106000020E61000000100000001030000000100000005000000615111A7937A474030D63730B95F4E40B9895A9A5B7B4740B1FA230C03624E402BBEA1F0D98047407E1CCD9195614E400EF8FC3042804740DCA0F65B3B5F4E40615111A7937A474030D63730B95F4E40",2
950,"83",NULL,NULL,"2024-01-13 02:39:12.080458+03","Участок №-1590","0106000020E6100000010000000103000000010000001D0000009981CAF8F7574740A2F0D93A38604E406DC9AA0837594740AD3594DA8B624E40AF09698D415947408F1CE90C8C624E40ECC039234A5947409BCAA2B08B624E40F3936A9F8E594740BA4BE2AC88624E40952D9276A3594740B6F63E5585624E40AA2D7590D75947409F1F46088F624E407156444DF4594740EB54F99E91624E40511553E9275A4740BE89213999624E4020D099B4A95A47404C16F71F99624E403FA88B14CA5A4740F836FDD98F624E40FDA19927D75A47404B917C2590624E402BBD361B2B5B4740F660527C7C624E4003CC7C073F5B474099D711876C624E4096ED43DE725B474000FF942A51624E40EA23F0879F5B4740AD872F1345624E4025ADF886C25B47402EAD86C43D624E407CED9925015C4740F661BD512B624E40390A1005335C474079573D601E624E401EFAEE56965C47403F70952710624E404C1C7920B25C4740605969520A624E40344B02D4D45C474000E31934F4614E40E59CD843FB5C4740D71533C2DB614E401CEE23B7265D47404DD87E32C6614E402C4833164D5D474023F433F5BA614E4061E0B9F7705D4740FCC8AD49B7614E40BCB0355B795D4740F04E3E3DB6614E409A780778D25C47402A8D98D9E75F4E409981CAF8F7574740A2F0D93A38604E40",3
951,"88",NULL,NULL,"2024-01-29 09:27:00.146946+03","Участок №-251","0106000020E6100000010000000103000000010000000F000000D5AF743E3C7147402BBF0CC688604E40DF6FB4E386754740D3BF249529604E40AABA47365775474076C3B645995F4E408AAE0B3F3875474008043A93365F4E407768588CBA7247409510ACAA975F4E408E05854199724740F38DE89E755F4E40056A317898724740D236FE44655F4E40D923D40CA97247408693347F4C5F4E407CD45FAFB07247408E959867255F4E40F65E7CD11E73474075560BEC315F4E406781768714734740C07630629F5E4E40D55A988576724740718FA50F5D5E4E40CB2DAD86C47147404DDC2A88815E4E406E3315E29170474026FBE769C05E4E40D5AF743E3C7147402BBF0CC688604E40",2
952,"87",NULL,NULL,"2024-01-31 13:56:06.566962+03","Участок №-957","0106000020E610000001000000010300000001000000090000003C2D3F70956B4740A0C1A6CEA35E4E403259DC7F646C4740F44E05DCF3604E40D5AF743E3C7147402BBF0CC688604E406E3315E29170474026FBE769C05E4E40CB2DAD86C47147404DDC2A88815E4E406B2C616D8C714740C53A55BE675E4E40959C137B68714740ED0E2906485E4E40DCD440F3397147406F2EFEB6275E4E403C2D3F70956B4740A0C1A6CEA35E4E40",2
953,"67",NULL,NULL,"2023-12-13 03:31:52.843759+03","Участок №-788","0106000020E61000000100000001030000000100000005000000BA32A836386D474042CEFBFF38634E40B151D66F266E4740A18499B67F654E408F554ACFF472474076FF58880E654E40C66F0A2B15724740020EA14ACD624E40BA32A836386D474042CEFBFF38634E40",2
954,"77",NULL,NULL,"2024-02-06 03:59:04.599604+03","Участок №-1151","0106000020E610000001000000010300000001000000050000003259DC7F646C4740F44E05DCF3604E40BA32A836386D474042CEFBFF38634E40C66F0A2B15724740020EA14ACD624E40D5AF743E3C7147402BBF0CC688604E403259DC7F646C4740F44E05DCF3604E40",2
955,"94",NULL,NULL,"2023-12-17 14:49:49.882308+03","Участок №716","0106000020E61000000100000001030000000100000005000000191EFB592C614740239EEC66465D4E40C1FD800706624740064A0A2C805F4E4092205C0185664740696E85B01A5F4E4019E3C3EC65654740A8FC6B79E55C4E40191EFB592C614740239EEC66465D4E40",3
956,"55",NULL,NULL,"2023-11-29 16:14:11.42021+03","Участок №-1753","0106000020E6100000010000000103000000010000000500000062F3716DA8644740C7681D554D664E408CF2CCCB6165474043E1B37570684E40CCCF0D4DD9694740D76CE525FF674E40C70E2A711D694740A4AA09A2EE654E4062F3716DA8644740C7681D554D664E40",3
957,"85",NULL,NULL,"2023-11-22 02:52:59.605346+03","Участок №-419","0106000020E61000000100000001030000000100000005000000C1FD800706624740064A0A2C805F4E40C2DD59BBED624740581EA4A7C8614E40BAF770C97167474002BB9A3C65614E4092205C0185664740696E85B01A5F4E40C1FD800706624740064A0A2C805F4E40",2
958,"65",NULL,NULL,"2023-12-29 06:22:00.094274+03","Участок №-1669","0106000020E61000000100000001030000000100000005000000CF9F36AAD36347406EC0E78711644E4062F3716DA8644740C7681D554D664E40C70E2A711D694740A4AA09A2EE654E40F87134475668474091291F82AA634E40CF9F36AAD36347406EC0E78711644E40",2
959,"75",NULL,NULL,"2024-01-03 13:14:55.242071+03","Участок №-1965","0106000020E61000000100000001030000000100000005000000C2DD59BBED624740581EA4A7C8614E40CF9F36AAD36347406EC0E78711644E40F87134475668474091291F82AA634E40BAF770C97167474002BB9A3C65614E40C2DD59BBED624740581EA4A7C8614E40",1
960,"54",NULL,NULL,"2023-12-02 23:32:56.789239+03","Участок №-2903","0106000020E61000000100000001030000000100000006000000FE99417C605F474044F7AC6BB4664E40EF1F0BD121604740FCFF3861C2684E4086730D33346047406005F86EF3684E408CF2CCCB6165474043E1B37570684E4062F3716DA8644740C7681D554D664E40FE99417C605F474044F7AC6BB4664E40",3
961,"84",NULL,NULL,"2024-02-05 13:22:16.313841+03","Участок №433","0106000020E610000001000000010300000001000000060000009A780778D25C47402A8D98D9E75F4E40BCB0355B795D4740F04E3E3DB6614E4091291F82AA5D474096766A2E37624E40C2DD59BBED624740581EA4A7C8614E40C1FD800706624740064A0A2C805F4E409A780778D25C47402A8D98D9E75F4E40",2
962,"64",NULL,NULL,"2023-12-21 08:15:06.208211+03","Участок №-2579","0106000020E610000001000000010300000001000000060000004B2366F6795E4740CC99ED0A7D644E40B1DF13EB545F47404FB2D5E594664E40FE99417C605F474044F7AC6BB4664E4062F3716DA8644740C7681D554D664E40CF9F36AAD36347406EC0E78711644E404B2366F6795E4740CC99ED0A7D644E40",3
963,"74",NULL,NULL,"2023-12-28 08:46:47.12633+03","Участок №-2844","0106000020E6100000010000000103000000010000000500000091291F82AA5D474096766A2E37624E404B2366F6795E4740CC99ED0A7D644E40CF9F36AAD36347406EC0E78711644E40C2DD59BBED624740581EA4A7C8614E4091291F82AA5D474096766A2E37624E40",1
964,"95",NULL,NULL,"2023-12-05 05:25:09.393818+03","Участок №-859","0106000020E6100000010000000103000000010000000900000019E3C3EC65654740A8FC6B79E55C4E4092205C0185664740696E85B01A5F4E403C2D3F70956B4740A0C1A6CEA35E4E406CE8667FA06A474004543882545C4E40C1AA7AF99D6A474058AEB7CD545C4E4096AFCBF09F6A4740D503E621535C4E4040FB912232684740478D0931975C4E406ABC74931866474095BBCFF1D15C4E4019E3C3EC65654740A8FC6B79E55C4E40",2
965,"56",NULL,NULL,"2024-01-09 21:44:46.262066+03","Участок №-2418","0106000020E61000000100000001030000000100000005000000C70E2A711D694740A4AA09A2EE654E40CCCF0D4DD9694740D76CE525FF674E404033880FEC6E47401FDAC70A7E674E40B151D66F266E4740A18499B67F654E40C70E2A711D694740A4AA09A2EE654E40",1
966,"86",NULL,NULL,"2024-02-06 04:20:31.093556+03","Участок №-618","0106000020E6100000010000000103000000010000000500000092205C0185664740696E85B01A5F4E40BAF770C97167474002BB9A3C65614E403259DC7F646C4740F44E05DCF3604E403C2D3F70956B4740A0C1A6CEA35E4E4092205C0185664740696E85B01A5F4E40",3
967,"66",NULL,NULL,"2023-12-29 01:10:52.708072+03","Участок №-1483","0106000020E61000000100000001030000000100000005000000F87134475668474091291F82AA634E40C70E2A711D694740A4AA09A2EE654E40B151D66F266E4740A18499B67F654E40BA32A836386D474042CEFBFF38634E40F87134475668474091291F82AA634E40",3
968,"76",NULL,NULL,"2024-01-08 11:56:36.610183+03","Участок №1","0106000020E61000000100000001030000000100000005000000BAF770C97167474002BB9A3C65614E40F87134475668474091291F82AA634E40BA32A836386D474042CEFBFF38634E403259DC7F646C4740F44E05DCF3604E40BAF770C97167474002BB9A3C65614E40",1
969,"38",NULL,NULL,"2023-11-27 16:46:50.16099+03","Участок №103","0106000020E610000001000000010300000001000000050000007CB779E3A47447407AABAE4335694E4016BD5301F7744740274A42226D6B4E4080B9162D4079474033DC80CF0F6B4E403E7B2E53937847402D944C4EED684E407CB779E3A47447407AABAE4335694E40",2
970,"58",NULL,NULL,"2023-12-03 06:34:39.426209+03","Участок №-1429","0106000020E610000001000000010300000001000000050000008F554ACFF472474076FF58880E654E4081B1BE81C973474073637AC212674E400A6AF816D67747404818062CB9664E407C2AA73D257747405C02F04FA9644E408F554ACFF472474076FF58880E654E40",2
971,"48",NULL,NULL,"2024-01-29 23:44:04.939285+03","Участок №858","0106000020E6100000010000000103000000010000000500000081B1BE81C973474073637AC212674E407CB779E3A47447407AABAE4335694E403E7B2E53937847402D944C4EED684E400A6AF816D67747404818062CB9664E4081B1BE81C973474073637AC212674E40",2
972,"37",NULL,NULL,"2023-11-25 12:29:19.922275+03","Участок №907","0106000020E61000000100000001030000000100000005000000EFC8586DFE6F4740BF0B5BB395694E4083DC4598A27047406364C91CCB6B4E4016BD5301F7744740274A42226D6B4E407CB779E3A47447407AABAE4335694E40EFC8586DFE6F4740BF0B5BB395694E40",2
973,"57",NULL,NULL,"2023-12-02 13:36:02.410055+03","Участок №-2512","0106000020E61000000100000001030000000100000005000000B151D66F266E4740A18499B67F654E404033880FEC6E47401FDAC70A7E674E4081B1BE81C973474073637AC212674E408F554ACFF472474076FF58880E654E40B151D66F266E4740A18499B67F654E40",1
974,"47",NULL,NULL,"2023-12-16 01:32:32.438365+03","Участок №952","0106000020E610000001000000010300000001000000050000004033880FEC6E47401FDAC70A7E674E40EFC8586DFE6F4740BF0B5BB395694E407CB779E3A47447407AABAE4335694E4081B1BE81C973474073637AC212674E404033880FEC6E47401FDAC70A7E674E40",2
975,"27",NULL,NULL,"2024-01-11 17:43:25.445332+03","Участок №-7","0106000020E61000000100000001030000000100000007000000B3A85019077547405080FB4B536E4E4040E81B0CD474474006215C9FC96D4E400BB24015B17547403D0088BDB96D4E4016BD5301F7744740274A42226D6B4E4083DC4598A27047406364C91CCB6B4E405DA3E5400F7147403D47E4BB946E4E40B3A85019077547405080FB4B536E4E40",2
976,"34",NULL,NULL,"2024-01-06 20:18:14.110557+03","Участок №-1794","0106000020E6100000010000000103000000010000000600000032CC09DAE4604740D4F19881CA6A4E40033FAA61BF614740AA0CE36E106D4E40174A26A776664740F08B4B55DA6C4E40DFFC8689066747409A44BDE0D36C4E402DEE3F321D6647407905A227656A4E4032CC09DAE4604740D4F19881CA6A4E40",2
977,"44",NULL,NULL,"2023-12-02 14:15:47.110583+03","Участок №397","0106000020E6100000010000000103000000010000000600000086730D33346047406005F86EF3684E40EACE13CFD960474054A9D903AD6A4E4032CC09DAE4604740D4F19881CA6A4E402DEE3F321D6647407905A227656A4E408CF2CCCB6165474043E1B37570684E4086730D33346047406005F86EF3684E40",3
978,"35",NULL,NULL,"2023-11-28 14:30:18.63049+03","Участок №-1698","0106000020E610000001000000010300000001000000060000002DEE3F321D6647407905A227656A4E40DFFC8689066747409A44BDE0D36C4E40459DB987846B474037A79201A06C4E40C233A149626B474052B7B3AF3C6C4E404A5D328E916A47403F1F65C4056A4E402DEE3F321D6647407905A227656A4E40",2
979,"45",NULL,NULL,"2023-12-13 04:40:02.778728+03","Участок №-1619","0106000020E610000001000000010300000001000000050000008CF2CCCB6165474043E1B37570684E402DEE3F321D6647407905A227656A4E404A5D328E916A47403F1F65C4056A4E40CCCF0D4DD9694740D76CE525FF674E408CF2CCCB6165474043E1B37570684E40",3
980,"36",NULL,NULL,"2024-01-26 07:22:07.187891+03","Участок №-344","0106000020E610000001000000010300000001000000050000004A5D328E916A47403F1F65C4056A4E40C233A149626B474052B7B3AF3C6C4E4083DC4598A27047406364C91CCB6B4E40EFC8586DFE6F4740BF0B5BB395694E404A5D328E916A47403F1F65C4056A4E40",1
981,"46",NULL,NULL,"2024-01-01 05:57:06.884736+03","Участок №-1067","0106000020E61000000100000001030000000100000005000000CCCF0D4DD9694740D76CE525FF674E404A5D328E916A47403F1F65C4056A4E40EFC8586DFE6F4740BF0B5BB395694E404033880FEC6E47401FDAC70A7E674E40CCCF0D4DD9694740D76CE525FF674E40",1
982,"26",NULL,NULL,"2024-01-28 17:09:15.374861+03","Участок №-2923","0106000020E61000000100000001030000000100000006000000C233A149626B474052B7B3AF3C6C4E40459DB987846B474037A79201A06C4E401E520C90686C4740992D5915E16E4E405DA3E5400F7147403D47E4BB946E4E4083DC4598A27047406364C91CCB6B4E40C233A149626B474052B7B3AF3C6C4E40",3
983,"20",NULL,NULL,"2024-01-20 02:56:57.432166+03","Участок №538","0106000020E61000000100000001030000000100000008000000A2098ACAA66C4740D57AACF5B9704E40FE70C45F146D47403E8B16E9B4704E4082BD9B02937047400FC3A99A91704E40854EFEEEBC7147402FC9561D87704E405DA3E5400F7147403D47E4BB946E4E401E520C90686C4740992D5915E16E4E40E9BAF083F36B47402A73F38DE86E4E40A2098ACAA66C4740D57AACF5B9704E40",2
984,"30",NULL,NULL,"2024-01-14 22:04:33.709482+03","Участок №-1627","0106000020E61000000100000001030000000100000007000000C2E79CF2A37E474091023BBD236D4E40422445AEFB7F4740D09DF94F0E6D4E4074852444D5824740E8AB5AA5E26C4E401469C452BE8347402619AF54D46C4E40245E9ECE1583474096422097386A4E40A4E4D539067E474098689082A76A4E40C2E79CF2A37E474091023BBD236D4E40",3
985,"39",NULL,NULL,"2024-02-10 22:41:46.321414+03","Участок №-866","0106000020E610000001000000010300000001000000050000003E7B2E53937847402D944C4EED684E4080B9162D4079474033DC80CF0F6B4E40A4E4D539067E474098689082A76A4E4012842BA0507D474077F4BF5C8B684E403E7B2E53937847402D944C4EED684E40",2
986,"59",NULL,NULL,"2023-11-29 01:52:25.077094+03","Участок №-2811","0106000020E6100000010000000103000000010000001F0000007C2AA73D257747405C02F04FA9644E400A6AF816D67747404818062CB9664E406A317898F67947401920D1048A664E40C4CDA964007A4740B9C667B27F664E40BA8784EFFD79474054AA44D95B664E4037DE1D19AB7947408258367348664E4037AAD381AC794740223317B83C664E401BD47E6B277A4740A8FE412443664E40BE33DAAA247A47409DD66D50FB654E40DF50F86C1D7A47400E4B033FAA654E402DCF83BBB37A47409E7939ECBE654E40C89A9141EE7A4740B7CF2A33A5654E4075AE2825047B474010E7E104A6654E40342DB1321A7B474070404B57B0654E402E8D5F78257B4740DB19A6B6D4654E404AECDADE6E7B4740C26C020CCB654E404562821ABE7B47409A417C60C7654E401822A7AFE77B47408D5F7825C9654E403FC8B260E27B4740492BBEA1F0654E40FF976BD1027C474023A298BC01664E40B9C7D2872E7C4740D09849D40B664E4098FA7953917C47400648348122664E4024B9FC87F47B4740CE531D7233644E4046425BCEA5784740A8ACA6EB89644E40BC900E0F6178474019AA622AFD644E40132A38BC20784740438EAD6708654E402882380F277847401A19E42EC2644E403BE12538F577474067B62BF4C1644E405CAFE94141774740684128EFE3644E407A53910A637747407DEBC37AA3644E407C2AA73D257747405C02F04FA9644E40",2
987,"49",NULL,NULL,"2023-11-25 10:30:43.21943+03","Участок №541","0106000020E6100000010000000103000000010000000D0000000A6AF816D67747404818062CB9664E403E7B2E53937847402D944C4EED684E4012842BA0507D474077F4BF5C8B684E4002F1BA7EC17C474064B2B8FFC8664E40F5A10BEA5B7C4740E97C789620674E4024EF1CCA507B47406B10E6762F674E409E9ACB0D867A47406022DE3AFF664E40DD96C805677A47402786E464E2664E4009185DDE1C7A474022FDF675E0664E40A8E2C62DE6794740452BF702B3664E4045B9347EE1794740EA094B3CA0664E406A317898F67947401920D1048A664E400A6AF816D67747404818062CB9664E40",1
988,"40",NULL,NULL,"2023-11-21 21:32:51.548702+03","Участок №284","0106000020E6100000010000000103000000010000000600000012842BA0507D474077F4BF5C8B684E40A4E4D539067E474098689082A76A4E40245E9ECE1583474096422097386A4E40DA91EA3BBF8247408FE1B19FC5684E404759BF99988247402C280CCA34684E4012842BA0507D474077F4BF5C8B684E40",2
989,"60",NULL,NULL,"2024-01-02 13:18:50.130741+03","Участок №-947","0106000020E6100000010000000103000000010000000600000024B9FC87F47B4740CE531D7233644E4098FA7953917C47400648348122664E40D1ADD7F4A07C47405055A18158664E40EE940ED6FF814740C61858C7F1654E40C97553CA6B814740C80C54C6BF634E4024B9FC87F47B4740CE531D7233644E40",2
990,"50",NULL,NULL,"2024-01-08 07:37:45.914971+03","Участок №-1194","0106000020E61000000100000001030000000100000006000000D1ADD7F4A07C47405055A18158664E4002F1BA7EC17C474064B2B8FFC8664E4012842BA0507D474077F4BF5C8B684E404759BF99988247402C280CCA34684E40EE940ED6FF814740C61858C7F1654E40D1ADD7F4A07C47405055A18158664E40",1
991,"71",NULL,NULL,"2023-12-24 05:20:53.094346+03","Участок №-2278","0106000020E61000000100000001030000000100000008000000398A99B9CC854740B6D131C062634E409DA875269485474048A6657CD1624E40BFB0AF4C738547405F7B7FEB80624E40A8CF6CDF358547404EE56852CF614E400BC07EBFFF844740CA42B58E42614E402BBEA1F0D98047407E1CCD9195614E40C97553CA6B814740C80C54C6BF634E40398A99B9CC854740B6D131C062634E40",2
992,"61",NULL,NULL,"2024-01-19 01:01:58.664512+03","Участок №-82","0106000020E6100000010000000103000000010000000600000035CEFAA9A8864740B063E94698654E407671CE615E8647406564ADBFD8644E40398A99B9CC854740B6D131C062634E40C97553CA6B814740C80C54C6BF634E40EE940ED6FF814740C61858C7F1654E4035CEFAA9A8864740B063E94698654E40",3
993,"51",NULL,NULL,"2024-02-07 09:59:26.57605+03","Участок №-2529","0106000020E6100000020000000103000000010000000400000047F951727787474011F2824E83674E4081F58B3B698747406E155F3A6A674E40A73B4F3C6787474066868DB27E674E4047F951727787474011F2824E83674E400103000000010000001400000098602151598747405FB498254E674E4096A597A1458747401C96FD692B674E403714690BD38647407EB90B8D05664E4035CEFAA9A8864740B063E94698654E40EE940ED6FF814740C61858C7F1654E404759BF99988247402C280CCA34684E40506EDBF7A88547401F9E25C808684E40143DF03158854740E010AAD4EC674E40F3C81F0C3C854740BCAFCA85CA674E40D84AE82E8985474043C70E2A71674E4023861DC6A4834740F4C308E1D1664E40D6A71C93C58347401BBCAFCA85664E40399CF9D51C844740D7DF12807F664E4003D0285DFA8547403B35971B0C674E402FC4EA8F30864740D331E719FB664E4062D7F6764B864740F624B03907674E402104E44BA88647408A05BEA25B674E40E23B31EBC5864740B6B9313D61674E40988A8D791D874740E6CFB7054B674E4098602151598747405FB498254E674E40",1
994,"81",NULL,NULL,"2023-12-11 07:46:41.436977+03","Участок №-181","0106000020E610000001000000010300000001000000080000000BC07EBFFF844740CA42B58E42614E4081F7729BC484474015F659BFA8604E4037B883015784474095EA8B52A05F4E404BF5D2C402844740619E448DD25E4E40EBC891CEC0804740359BC761305F4E400EF8FC3042804740DCA0F65B3B5F4E402BBEA1F0D98047407E1CCD9195614E400BC07EBFFF844740CA42B58E42614E40",2
995,"90",NULL,NULL,"2024-01-12 19:10:30.563904+03","Участок №-2356","0106000020E610000001000000010300000001000000080000004BF5D2C402844740619E448DD25E4E404FB1FEB0D383474097D7968D5F5E4E404F958EC78E834740305AE687B95D4E40EA6F761D2683474044E048A0C15C4E40A9BF5E61C17F474044E048A0C15C4E400EF8FC3042804740DCA0F65B3B5F4E40EBC891CEC0804740359BC761305F4E404BF5D2C402844740619E448DD25E4E40",2
996,"43",NULL,NULL,"2023-11-19 17:27:50.826417+03","Участок №-457","0106000020E6100000010000000103000000010000000600000093E52494BE5A4740B4B0A71DFE684E4064CE33F6255B47407E3B8908FF6A4E40EACE13CFD960474054A9D903AD6A4E4086730D33346047406005F86EF3684E40EF1F0BD121604740FCFF3861C2684E4093E52494BE5A4740B4B0A71DFE684E40",3
997,"53",NULL,NULL,"2024-01-01 13:51:36.894734+03","Участок №-27","0106000020E6100000010000000103000000010000000600000046CF2D74255A474013622EA9DA664E4093E52494BE5A4740B4B0A71DFE684E40EF1F0BD121604740FCFF3861C2684E40FE99417C605F474044F7AC6BB4664E40B1DF13EB545F47404FB2D5E594664E4046CF2D74255A474013622EA9DA664E40",2
998,"32",NULL,NULL,"2023-12-15 05:27:22.21711+03","Участок №-2235","0106000020E61000000100000001030000000100000005000000C84274081C57474030630AD6386B4E409E45EF54C0574740DE585018946D4E40E6EAC726F95B4740FE99417C606D4E4064CE33F6255B47407E3B8908FF6A4E40C84274081C57474030630AD6386B4E40",3
999,"33",NULL,NULL,"2024-01-28 17:54:59.503977+03","Участок №-1176","0106000020E6100000010000000103000000010000000600000064CE33F6255B47407E3B8908FF6A4E40E6EAC726F95B4740FE99417C606D4E40033FAA61BF614740AA0CE36E106D4E4032CC09DAE4604740D4F19881CA6A4E40EACE13CFD960474054A9D903AD6A4E4064CE33F6255B47407E3B8908FF6A4E40",3
1000,"29",NULL,NULL,"2023-12-12 16:39:00.79264+03","Участок №-316","0106000020E61000000100000001030000000100000006000000E31365AE007A4740D086FAA76F6D4E408E82A87ED97D4740EE07F45B306D4E40C2E79CF2A37E474091023BBD236D4E40A4E4D539067E474098689082A76A4E4080B9162D4079474033DC80CF0F6B4E40E31365AE007A4740D086FAA76F6D4E40",1
1001,"31",NULL,NULL,"2024-01-09 14:35:28.462293+03","Участок №-2652","0106000020E610000001000000010300000001000000070000001469C452BE8347402619AF54D46C4E40E487AAC5C4884740EA141F50856C4E40F6A8AA31E5874740A2FE3E8B3E6A4E40719E5DDBC0874740DCA673CCDE694E40E1ECD632198447402461DF4E226A4E40245E9ECE1583474096422097386A4E401469C452BE8347402619AF54D46C4E40",3
1002,"41",NULL,NULL,"2024-02-03 22:37:28.869182+03","Участок №-1577","0106000020E61000000100000001030000000100000008000000DA91EA3BBF8247408FE1B19FC5684E40245E9ECE1583474096422097386A4E40E1ECD632198447402461DF4E226A4E404EEE77280A8447409561DC0DA2694E4049BE124889834740956247E350694E401C959BA8A5834740965CC5E237694E40D9B27C5D86834740944DB9C2BB684E40DA91EA3BBF8247408FE1B19FC5684E40",2
1003,"69",NULL,NULL,"2023-12-05 12:33:09.50079+03","Участок №-2342","0106000020E6100000030000000103000000010000001400000006D847A7AE764740AD156D8E73634E407C2AA73D257747405C02F04FA9644E407A53910A637747407DEBC37AA3644E405B7B9FAA42774740D73043E389644E40B7ED7BD45F774740C6DCB5847C644E40CA8B4CC0AF774740BCE7C07284644E4096438B6CE7774740C53A55BE67644E40C02154A9D9774740BE50C07630644E40BFF4F6E7A2774740A88AA9F413644E409609BFD4CF77474024D6E25300644E40352A70B20D784740FCAA5CA8FC634E4041D7BE805E784740B3EDB43522644E407D08AA46AF78474069C9E369F9634E40572250FD837847402EC55565DF634E40BEDBBC7152784740F18288D4B4634E4066DCD440F3774740E5D4CE30B5634E4058E36C3A027847408657923CD7634E40E59A02999D77474063EFC517ED634E40959C137B68774740C6C1A563CE634E4006D847A7AE764740AD156D8E73634E40010300000001000000060000005AF2785A7E764740239F573CF5624E40D1967329AE7647401FBDE13E72634E40B85CFDD824774740FED478E926634E401B6327BC0477474030D80DDB16634E401F10E84CDA7647404CFE277FF7624E405AF2785A7E764740239F573CF5624E400103000000010000000800000080F0A1444B7647402CB98AC56F624E40F78E1A1362764740A27A6B60AB624E40D8D2A3A99E764740350BB43BA4624E40753FA7203F77474076A8A624EB624E40516859F78F774740FAD170CADC624E40062D246074774740B309302C7F624E40EAE8B81AD9774740C2DF2F664B624E4080F0A1444B7647402CB98AC56F624E40",1
1004,"70",NULL,NULL,"2023-12-25 01:35:41.791991+03","Участок №-746","0106000020E61000000100000001030000000100000007000000A609DB4FC6D0464075AC527AA66B4E40DE5A26C3F1D046402C2E8ECA4D6C4E40CB68E4F38AD14640938E72309B6E4E40E84D452A8CD146408B355CE49E6E4E406BBB09BE69D64640D15D1267456E4E40600322C495D54640287E8CB96B6B4E40A609DB4FC6D0464075AC527AA66B4E40",1
1005,"37",NULL,NULL,"2023-12-09 21:14:56.709887+03","Участок №491","0106000020E61000000100000001030000000100000006000000FE60E0B9F7DC46401FD61BB5C2724E406A4FC939B1DD4640000341800C754E40912C6002B7E24640A4A833F790744E40F7729F1C05E246404F2157EA59724E40EC6D3315E2E146401E3526C45C724E40FE60E0B9F7DC46401FD61BB5C2724E40",2
1006,"35",NULL,NULL,"2024-02-04 12:59:59.295085+03","Участок №-1642","0106000020E6100000010000000103000000010000000700000005FA449E24D346407AC7293A92734E4007EC6AF294D3464025CD1FD3DA744E4076FD82DDB0D34640895DDBDB2D754E40C51F459DB9D34640EA5C514A08764E40FC6EBA6587D8464027F8A6E9B3754E40E55FCB2BD7D746406C787AA52C734E4005FA449E24D346407AC7293A92734E40",1
1007,"58",NULL,NULL,"2024-01-04 22:14:47.322074+03","Участок №344","0106000020E61000000100000001030000000100000005000000E84D452A8CD146408B355CE49E6E4E401DB0ABC953D24640DD60A8C30A714E4051DEC7D11CD74640842D76FBAC704E406BBB09BE69D64640D15D1267456E4E40E84D452A8CD146408B355CE49E6E4E40",2
1008,"99",NULL,NULL,"2023-11-23 11:36:37.898579+03","Участок №-1880","0106000020E6100000010000000103000000010000001E00000037FA980F08F24640DDED7A698A644E4047E6913F18F24640844A5CC7B8644E404033880FECF2464012BF620D17674E40C30E63D2DFF746402F6B6281AF664E4030D5CC5A0AF846401E34BBEEAD664E402A55A2EC2DF74640247CEF6FD0644E40266F8099EFF64640E0641BB803654E403318231285F6464034F5BA4560664E404DBC033C69F54640C093162EAB664E40F06DFAB31FF546402046088F36664E406B2C616D8CF5464065E256410C664E403EE76ED74BF546400ABC934F8F654E4032CA332F87F54640467A51BB5F654E407BA4C16D6DF546404698A25C1A654E409FCA694FC9F54640986DA7AD11654E407EE02A4F20F646403485CE6BEC644E402140868E1DF64640C11E1329CD644E40B81FF0C000F64640F8DEDFA0BD644E40D925AAB706F64640C2189128B4644E4040FB912232F646400B613596B0644E406F9C14E63DF64640D636C5E3A2644E40AED85F764FF646401BF67B629D644E40C119FCFD62F64640D1ADD7F4A0644E404AD235936FF646407711A62897644E40BADDCB7D72F64640AD3594DA8B644E40BDE13E726BF64640543541D47D644E4028F04E3E3DF64640C80A7E1B62644E407E8FFAEB15F6464056F5F23B4D644E4028999CDA19F64640FDC0559E40644E4037FA980F08F24640DDED7A698A644E40",2
1009,"63",NULL,NULL,"2023-12-31 08:45:20.780332+03","Участок №-1793","0106000020E610000001000000010300000001000000060000004F04711E4EEA46407EAA0A0DC46C4E40357F4C6BD3EA4640CE50DCF1266F4E40234BE658DEEF46401A19E42EC26E4E40772CB64945EF4640F22213F06B6C4E40D1C952EBFDEE46403DF03158716C4E404F04711E4EEA46407EAA0A0DC46C4E40",2
1010,"25",NULL,NULL,"2024-02-10 02:27:19.908658+03","Участок №-1586","0106000020E61000000100000001030000000100000006000000C51F459DB9D34640EA5C514A08764E40328FFCC1C0D34640240ED940BA764E4056F5F23B4DD4464084622B685A784E40C0CB0C1B65D946402EAEF199EC774E40FC6EBA6587D8464027F8A6E9B3754E40C51F459DB9D34640EA5C514A08764E40",2
1011,"71",NULL,NULL,"2024-01-31 12:26:55.565043+03","Участок №-498","0106000020E61000000100000001030000000100000005000000600322C495D54640287E8CB96B6B4E406BBB09BE69D64640D15D1267456E4E408CDB68006FDB46405320B3B3E86D4E403E7B2E5393DA4640A60EF27A306B4E40600322C495D54640287E8CB96B6B4E40",1
1012,"59",NULL,NULL,"2023-12-17 10:17:30.683969+03","Участок №-2551","0106000020E610000001000000010300000001000000050000006BBB09BE69D64640D15D1267456E4E4051DEC7D11CD74640842D76FBAC704E401077F52A32DC46404D68925852704E408CDB68006FDB46405320B3B3E86D4E406BBB09BE69D64640D15D1267456E4E40",1
